0.04863,0.98679,-0.12982,-1.05,0.155,-0.757,0.906,2.455,0.276,0.382229193,0
0.06878,0.95851,-0.1823,-0.61,0.246,-0.853,0.897,2.111,0.138,0.365555856,0
0.01756,0.95555,-0.17529,-0.554,0.361,-0.971,0.695,2.349,0.047,0.348017281,0
0.06354,0.97909,-0.20115,-0.982,0.27,-1.067,1.246,2.164,0.188,0.411735649,0
0.1345,0.92806,-0.24142,-0.194,0.545,-0.783,0.598,1.724,-0.062,0.274703978,0
0.06208,0.95996,-0.18053,-0.229,0.613,-0.548,0.422,1.845,0.032,0.274965943,0
0.09774,0.94058,-0.21298,-0.284,0.537,-0.554,0.809,1.66,-0.056,0.287360355,0
0.10397,0.92775,-0.18585,-0.44,0.601,-0.519,0.672,1.713,0.091,0.265141192,0
-0.00385,0.99891,-0.15897,-0.648,0.378,-0.862,1.009,1.988,0.103,0.363541235,0
0.02908,0.97121,-0.23624,-1.067,0.311,-1.126,1.282,2.416,0.088,0.406656792,0
-0.01744,0.97226,-0.18308,-0.595,0.411,-1.038,1.012,2.314,0.158,0.376399551,0
0.01045,0.92887,-0.19227,-0.891,0.147,-1.067,0.982,2.085,0.152,0.350410659,0
0.06794,0.97102,-0.18266,-0.894,0.452,-0.674,1.111,2.021,0.111,0.337776648,0
-0.03041,0.89399,-0.15818,-0.824,0.493,-0.56,0.71,1.891,0.012,0.287188584,0
0.00484,1.04008,-0.2113,-1.023,0.361,-1.282,0.962,2.185,0.161,0.438168566,0
0.09641,0.93013,-0.29037,-0.317,0.616,-0.575,0.848,1.613,-0.026,0.304000286,0
0.06998,0.96944,-0.22694,-0.199,0.572,-0.654,0.499,1.739,-0.044,0.296901488,0
0.1117,0.97572,-0.21554,-0.194,0.411,-0.68,0.68,1.985,-0.003,0.294421512,0
0.08172,0.96124,-0.20374,-0.199,0.707,-0.528,0.894,1.504,0,0.273423805,0
0.04821,0.88343,-0.17718,-0.927,0.393,-0.824,1.126,2.15,0.173,0.29727696,0
0.06358,0.9486,-0.22645,-0.824,0.375,-1.067,1.094,2.472,0.103,0.379823413,0
0.07181,0.96295,-0.18933,-0.516,0.317,-0.953,0.918,2.205,0.106,0.375327251,0
0.06551,0.97207,-0.16988,-1.182,0.135,-1.103,1.387,2.496,0.37,0.409722233,0
0.00418,0.97123,-0.11916,-1.144,0.155,-0.918,1.094,2.196,0.238,0.384482016,0
0.02902,0.944,-0.18133,-0.977,0.126,-0.977,1.018,2.507,0.073,0.407162996,0
0.0392,1.02646,-0.19635,-0.733,0.138,-0.768,0.554,2.408,0.141,0.421779656,0
0.1526,0.93563,-0.30034,-0.337,0.255,-1.026,1.519,1.68,0.012,0.359519585,0
0.11743,0.94471,-0.25181,-0.229,0.557,-0.818,0.736,1.545,0.012,0.297727623,0
0.11243,0.95021,-0.18813,-0.229,0.569,-0.654,0.607,1.607,0.132,0.272246311,0
-0.00264,0.94747,-0.16645,-0.768,0.352,-1.202,0.625,2.1,0.129,0.34936742,0
0.08226,0.95492,-0.22484,-0.704,0.378,-0.997,0.848,2.252,0.029,0.361599724,0
0.07704,1.04053,-0.21474,-0.883,0.235,-1.217,1.393,2.199,0.152,0.458037151,0
0.04346,0.89323,-0.26103,-1.097,0.246,-1.226,1.408,2.651,0.161,0.409238607,0
0.02135,0.93572,-0.21881,-0.595,0.364,-1.032,0.792,2.088,0,0.375102006,0
0.0897,0.98229,-0.21053,-0.736,0.12,-1.601,1.009,2.446,0.17,0.415289461,0
0.12726,0.94685,-0.2468,-0.387,0.636,-0.745,0.783,1.733,-0.026,0.30372595,0
0.08916,0.96929,-0.23544,-0.199,0.604,-0.557,0.598,1.821,-0.029,0.295989729,0
0.13271,0.95356,-0.29124,-0.182,0.589,-0.686,0.578,1.765,-0.106,0.303838451,0
0.05054,0.9315,-0.20483,-0.367,0.601,-1.276,0.587,2.537,0.217,0.308021403,0
-0.0076,0.98997,-0.15837,-1.138,0.208,-0.83,1.021,2.516,0.17,0.38459326,0
-0.00963,0.94527,-0.21446,-0.768,0.39,-0.883,0.868,2.507,0.085,0.361927162,0
0.00749,0.91796,-0.17202,-0.724,0.235,-0.809,0.809,2.531,0.067,0.364667996,0
0.08465,0.97103,-0.17097,-1.15,0.302,-1.056,1.111,3.032,0.214,0.397744837,0
0.04172,0.94115,-0.22547,-0.698,0.51,-0.909,0.924,2.117,0.044,0.356889086,0
0.1495,1.0156,-0.22732,-0.619,0.15,-1.188,1.065,2.54,0.114,0.455456316,0
0.2517,0.92074,-0.26925,-0.179,0.167,-0.877,0.777,2.111,0.026,0.328414374,0
0.13096,0.96403,-0.16084,-0.018,0.883,-0.24,0.302,1.038,-0.076,0.230054645,0
0.13324,0.96453,-0.15443,0.109,0.947,-0.17,0.152,0.982,-0.138,0.22592972,0
0.12984,0.96461,-0.16085,0.109,0.95,-0.17,0.152,0.977,-0.155,0.228371612,0
0.13135,0.96553,-0.14963,0.053,0.95,-0.173,0.17,0.982,-0.103,0.225257419,0
0.123,0.96665,-0.14795,0.109,0.962,-0.158,0.138,0.977,-0.132,0.22606302,0
0.09012,0.97061,-0.14362,0.023,0.938,-0.173,0.141,1.009,-0.088,0.231328443,0
0.02848,0.97831,-0.08939,-0.018,0.965,-0.132,0.076,0.994,-0.053,0.229662368,0
0.00981,0.98005,-0.08407,-0.009,0.974,-0.1,0.026,0.991,-0.07,0.232206353,0
